buy|54715
restock|81983|12
buy|82315
buy|68763
buy|54715
buy|54715
buy|28944
restock|45546|19
buy|17287
buy|54670
buy|90611
buy|74698
buy|82315
buy|29524
buy|45546
buy|81983
buy|96260
buy|91208
buy|29524
buy|29524
buy|91208
buy|50731
buy|28944
buy|54670
buy|74698
buy|45546
buy|82315
buy|26686
buy|68763
buy|81984
buy|96260
buy|58595
buy|54715
buy|45546
buy|10241
buy|54670
buy|96260
buy|29524
buy|28944
buy|45546
buy|54670
buy|43947
restock|74699|17
buy|81982
restock|81983|17
buy|54715
buy|81984
buy|43947
buy|90611
buy|54670
